24DME N038.16.27.530 E106.21.34.268
37E07 N037.00.00.000 E107.00.00.000
37E08 N037.00.00.000 E108.00.00.000
37E09 N037.00.00.000 E109.00.00.000
37E10 N037.00.00.000 E110.00.00.000
3890E N038.00.00.000 E090.00.00.000
3891E N038.00.00.000 E091.00.00.000
3892E N038.00.00.000 E092.00.00.000
3893E N038.00.00.000 E093.00.00.000
3894E N038.00.00.000 E094.00.00.000
3895E N038.00.00.000 E095.00.00.000
3896E N038.00.00.000 E096.00.00.000
3897E N038.00.00.000 E097.00.00.000
3898E N038.00.00.000 E098.00.00.000
3899E N038.00.00.000 E099.00.00.000
38E00 N038.00.00.000 E100.00.00.000
38E01 N038.00.00.000 E101.00.00.000
38E02 N038.00.00.000 E102.00.00.000
38E03 N038.00.00.000 E103.00.00.000
38E04 N038.00.00.000 E104.00.00.000
38E05 N038.00.00.000 E105.00.00.000
38E06 N038.00.00.000 E106.00.00.000
38E07 N038.00.00.000 E107.00.00.000
38E08 N038.00.00.000 E108.00.00.000
38E09 N038.00.00.000 E109.00.00.000
38E10 N038.00.00.000 E110.00.00.000
3991E N039.00.00.000 E091.00.00.000
3992E N039.00.00.000 E092.00.00.000
3993E N039.00.00.000 E093.00.00.000
3994E N039.00.00.000 E094.00.00.000
3995E N039.00.00.000 E095.00.00.000
3996E N039.00.00.000 E096.00.00.000
3997E N039.00.00.000 E097.00.00.000
3998E N039.00.00.000 E098.00.00.000
3999E N039.00.00.000 E099.00.00.000
39E00 N039.00.00.000 E100.00.00.000
39E01 N039.00.00.000 E101.00.00.000
39E02 N039.00.00.000 E102.00.00.000
39E03 N039.00.00.000 E103.00.00.000
39E04 N039.00.00.000 E104.00.00.000
39E05 N039.00.00.000 E105.00.00.000
39E06 N039.00.00.000 E106.00.00.000
39E07 N039.00.00.000 E107.00.00.000
39E08 N039.00.00.000 E108.00.00.000
39E09 N039.00.00.000 E109.00.00.000
4093E N040.00.00.000 E093.00.00.000
4094E N040.00.00.000 E094.00.00.000
4095E N040.00.00.000 E095.00.00.000
4096E N040.00.00.000 E096.00.00.000
4097E N040.00.00.000 E097.00.00.000
4098E N040.00.00.000 E098.00.00.000
4099E N040.00.00.000 E099.00.00.000
40E00 N040.00.00.000 E100.00.00.000
40E01 N040.00.00.000 E101.00.00.000
40E02 N040.00.00.000 E102.00.00.000
40E03 N040.00.00.000 E103.00.00.000
40E04 N040.00.00.000 E104.00.00.000
40E05 N040.00.00.000 E105.00.00.000
40E06 N040.00.00.000 E106.00.00.000
40E07 N040.00.00.000 E107.00.00.000
40E08 N040.00.00.000 E108.00.00.000
4194E N041.00.00.000 E094.00.00.000
4195E N041.00.00.000 E095.00.00.000
4196E N041.00.00.000 E096.00.00.000
4197E N041.00.00.000 E097.00.00.000
4198E N041.00.00.000 E098.00.00.000
4199E N041.00.00.000 E099.00.00.000
41E00 N041.00.00.000 E100.00.00.000
41E01 N041.00.00.000 E101.00.00.000
41E02 N041.00.00.000 E102.00.00.000
41E03 N041.00.00.000 E103.00.00.000
41E04 N041.00.00.000 E104.00.00.000
41E05 N041.00.00.000 E105.00.00.000
41E06 N041.00.00.000 E106.00.00.000
4295E N042.00.00.000 E095.00.00.000
4296E N042.00.00.000 E096.00.00.000
4297E N042.00.00.000 E097.00.00.000
4298E N042.00.00.000 E098.00.00.000
4299E N042.00.00.000 E099.00.00.000
42E00 N042.00.00.000 E100.00.00.000
42E01 N042.00.00.000 E101.00.00.000
42E02 N042.00.00.000 E102.00.00.000
42E03 N042.00.00.000 E103.00.00.000
42E04 N042.00.00.000 E104.00.00.000
44DME N034.23.30.030 E108.40.32.048
44VOR N036.26.29.670 E103.37.24.280
46VOR N036.35.28.860 E103.36.54.169
50VOR N038.16.25.291 E106.21.31.298
64VOR N036.26.01.388 E103.37.34.000
70VOR N034.22.29.809 E108.41.13.042
A N035.54.47.999 E104.09.00.000
ADMUX N038.52.32.999 E090.57.01.001
ADNEN N035.30.24.998 E107.41.13.999
AGULU N032.15.42.998 E107.11.30.998
AGVEN N038.57.24.998 E107.02.38.000
AKAGI N036.34.00.001 E096.35.30.001
AKMAT N037.36.06.001 E103.50.35.002
ALGAK N036.30.11.999 E107.16.05.002
ANDIM N037.21.29.999 E102.26.22.999
ANRUG N033.24.50.000 E108.05.17.002
APOGO N037.55.45.998 E110.39.52.999
ATBUG N041.01.50.002 E104.28.23.999
ATERI N036.37.37.999 E109.29.38.000
ATNOK N039.16.08.000 E096.50.39.001
AVBUD N037.06.54.000 E102.18.56.002
BELIP N037.59.15.000 E105.22.10.999
BESMI N035.46.32.999 E104.09.06.998
BIKNO N040.54.54.000 E093.50.53.002
BILDA N039.45.13.000 E097.32.35.002
BUKPU N036.56.12.998 E103.17.02.000
CD05R N034.15.34.898 E108.31.39.922
CD08 N040.08.44.149 E094.35.06.652
CD18 N036.43.55.380 E103.36.24.170
CD21 N038.29.06.911 E106.30.27.940
CD23L N034.35.41.950 E108.59.34.552
CD26 N040.11.04.852 E095.10.11.849
CD36 N036.16.37.369 E103.38.10.460
CF03 N038.08.34.490 E106.16.02.730
CF21 N038.29.57.721 E106.31.05.362
CF26 N040.11.12.761 E095.10.13.030
CI05L N034.17.12.682 E108.31.54.750
CI05R N034.15.28.501 E108.31.36.340
CI08 N040.08.52.609 E094.35.05.881
CI11 N036.37.09.181 E101.43.06.701
CI18Y N036.43.54.390 E103.36.25.841
CI23L N034.35.39.019 E108.59.27.060
CI23R N034.37.03.220 E108.59.18.550
CI29 N036.26.19.961 E102.21.57.049
CI36Y N036.16.35.429 E103.38.08.261
CQ05L N034.17.14.888 E108.31.53.108
CQ21 N038.29.55.709 E106.31.09.840
CQ23R N034.37.01.099 E108.59.20.090
D001M N036.27.06.970 E103.47.37.118
D004P N036.46.24.679 E103.38.10.388
D008J N036.46.09.361 E103.38.56.738
D009P N040.25.37.132 E094.53.56.062
D009S N040.28.35.080 E094.54.32.620
D021S N034.50.57.052 E108.44.41.482
D023K N036.24.21.499 E103.52.51.539
D024N N034.39.45.180 E108.53.21.851
D029J N038.04.17.749 E106.26.09.082
D029R N038.11.06.000 E106.30.47.999
D029Y N038.17.47.400 E106.34.31.598
D030P N036.45.01.829 E103.46.52.140
D030R N036.46.21.911 E103.47.43.559
D032P N038.04.11.539 E106.12.59.069
D032Q N036.46.22.390 E103.47.10.061
D032U N038.38.54.701 E106.37.24.600
D040K N038.29.03.631 E106.32.36.020
D043W N038.13.12.000 E106.39.42.001
D052C N034.08.32.381 E108.32.44.761
D052Q N034.18.06.001 E108.45.54.000
D052W N034.21.39.301 E108.50.59.122
D058P N034.36.42.059 E109.04.13.012
D063P N034.35.20.828 E109.04.54.908
D075Q N040.13.52.939 E095.12.14.249
D093U N040.08.16.811 E095.18.00.922
D094H N036.32.13.240 E103.47.26.902
D094M N036.32.05.971 E103.53.16.710
D096Q N036.30.22.889 E102.22.50.138
D100O N038.17.20.670 E106.42.36.608
D100W N036.28.20.489 E102.30.02.401
D100Y N036.28.03.180 E102.32.29.630
D103U N036.41.59.611 E103.52.05.858
D108Q N036.09.22.741 E104.08.04.780
D116R N036.06.42.001 E104.07.59.999
D122L N036.24.52.538 E103.50.22.340
D122S N036.21.36.569 E103.57.20.160
D135M N036.22.00.721 E103.49.16.342
D150M N036.03.04.471 E103.56.26.099
D154J N034.24.28.321 E108.43.38.168
D155J N034.07.04.980 E109.20.37.360
D172Q N036.14.37.619 E103.41.02.519
D174R N036.14.59.258 E103.40.03.860
D175P N036.16.16.741 E103.39.35.971
D176Y N034.02.14.438 E108.51.18.259
D179K N036.35.12.008 E103.27.12.892
D179S N036.27.29.999 E103.27.42.790
D179X N036.22.11.989 E103.28.03.310
D180Y N036.47.17.250 E104.06.00.680
D195H N033.58.50.722 E108.28.17.231
D212P N038.34.14.891 E106.34.07.421
D212V N037.59.27.481 E106.09.41.101
D219I N034.25.54.210 E108.31.18.271
D221P N034.20.57.340 E108.26.10.471
D221Q N034.20.09.910 E108.25.25.972
D232G N034.22.21.000 E108.41.00.848
D232I N034.21.29.470 E108.39.49.529
D232J N034.20.24.000 E108.38.17.999
D232Q N034.16.00.001 E108.32.17.999
D241T N040.00.23.029 E094.27.42.340
D245I N034.22.52.061 E108.37.54.491
D248H N034.29.48.480 E108.28.55.661
D264M N037.53.24.000 E106.05.06.000
D264P N040.08.22.402 E094.29.54.982
D270H N036.32.07.642 E103.26.54.532
D273N N040.10.45.199 E094.32.28.720
D275Q N036.14.56.440 E103.27.24.289
D278K N037.56.13.240 E106.07.07.550
D279H N036.47.05.212 E103.16.36.181
D279S N036.48.17.039 E103.02.59.309
D282I N036.38.05.438 E102.18.02.570
D282S N036.39.46.969 E102.05.55.241
D294V N038.28.41.999 E105.58.18.001
D298J N037.59.26.239 E106.09.21.870
D300S N036.40.30.101 E101.40.56.719
D302P N040.18.27.770 E094.33.07.769
D311V N036.27.52.222 E103.26.48.001
D316W N036.30.04.208 E103.27.22.730
D328S N038.10.32.408 E106.07.04.220
D334Q N036.46.37.409 E101.51.51.930
D336S N034.32.24.000 E109.04.48.000
D336X N034.37.18.541 E109.01.41.851
D340R N034.32.46.151 E109.06.14.620
D345T N034.26.02.170 E108.22.36.952
D348E N034.11.38.080 E108.28.36.520
D348F N034.12.53.550 E108.28.12.151
D348I N034.15.36.090 E108.27.19.631
D348J N034.16.39.950 E108.26.58.981
DH602 N040.08.37.000 E094.35.04.999
DH603 N040.15.04.000 E094.34.13.001
DH604 N040.07.46.999 E094.24.34.999
DH611 N039.57.51.998 E095.47.08.999
DH612 N040.04.46.999 E095.28.23.002
DH614 N040.34.22.001 E094.55.54.998
DH615 N040.26.42.000 E094.16.16.000
DH616 N039.54.59.000 E094.14.29.000
DH702 N040.11.21.001 E095.10.08.000
DH703 N040.17.48.998 E095.09.15.998
DH704 N040.11.53.999 E095.17.08.999
DH711 N040.11.10.000 E095.07.25.000
DH712 N039.55.19.999 E095.09.29.999
DH713 N039.46.27.998 E095.32.53.999
DH714 N040.26.33.000 E094.28.45.001
DH715 N039.55.34.000 E094.36.47.999
DJC33 N036.39.36.000 E104.06.24.001
DNC31 N036.59.28.241 E103.56.05.010
DNH40 N039.46.30.000 E095.32.53.999
DNH45 N039.57.54.000 E095.47.06.000
DOMVA N037.21.55.001 E106.45.04.000
DOVOP N034.45.25.999 E108.42.29.999
DOXED N038.56.55.000 E107.27.14.000
DS606 N039.14.03.502 E109.13.59.999
DUMIN N038.10.00.001 E092.30.00.000
DWZ34 N038.26.02.789 E106.39.40.810
DWZ38 N038.28.48.000 E105.58.18.001
DWZ47 N038.31.30.000 E106.59.42.000
DWZ49 N038.32.45.211 E107.00.44.190
DWZ56 N038.45.31.259 E106.51.55.400
DZH11 N036.23.26.160 E103.54.38.740
DZH30 N036.39.36.000 E104.06.24.001
ELPAN N034.58.32.999 E104.11.29.000
EMVIL N032.13.05.002 E109.46.39.000
ENBOP N039.06.47.002 E107.19.39.000
ESGIG N035.37.54.998 E106.26.13.999
ESMEX N037.10.46.999 E102.02.19.000
FD05R N034.18.24.908 E108.35.34.440
FD08 N040.09.10.469 E094.41.28.522
FD18 N036.39.31.388 E103.36.41.389
FD21 N038.25.42.128 E106.28.03.292
FD23L N034.33.32.090 E108.56.33.310
FD26 N040.10.36.541 E095.02.55.021
FD36 N036.21.55.390 E103.37.49.919
FF03 N038.12.31.061 E106.18.48.352
FF21 N038.26.01.460 E106.28.18.390
FF26 N040.10.44.659 E095.02.56.159
FF36 N036.22.11.471 E103.37.47.392
FI05L N034.21.26.370 E108.37.43.259
FI05R N034.18.19.001 E108.35.30.329
FI08 N040.09.18.911 E094.41.27.780
FI11 N036.36.10.890 E101.46.38.258
FI18 N036.39.30.380 E103.36.42.469
FI23L N034.33.32.720 E108.56.31.700
FI23R N034.32.11.040 E108.52.33.150
FI29 N036.27.19.289 E102.18.26.381
FI36 N036.21.52.279 E103.37.48.788
FQ05L N034.21.27.680 E108.37.42.571
FQ21 N038.25.59.452 E106.28.22.861
FQ23R N034.32.09.841 E108.52.33.719
GOBIN N041.29.57.998 E102.48.27.000
GOKEB N032.04.30.000 E108.24.20.002
GOTBO N038.24.18.000 E106.39.29.999
GOVSA N041.52.16.000 E096.14.31.999
GUTPA N034.18.07.999 E108.45.51.001
GUTRU N036.29.38.000 E109.10.45.998
HDS33 N039.14.06.000 E109.13.59.999
IBANO N040.18.20.999 E094.52.00.001
IDGOB N037.24.20.999 E106.59.04.999
IGADA N034.08.20.000 E110.27.15.998
IGDON N039.28.00.998 E097.01.59.999
IGNOL N032.37.44.000 E107.39.13.000
IKAGA N039.43.09.998 E097.17.07.001
IRSUM N036.01.36.998 E104.39.51.001
IRTOL N036.46.41.999 E096.03.36.000
ISVAR N034.30.40.000 E108.40.31.001
IVTEV N037.45.24.998 E106.30.25.999
KARVI N040.06.09.000 E094.41.33.000
KIBIP N038.53.43.001 E109.25.07.000
KIDIV N038.37.14.002 E092.24.06.001
LAVOM N039.14.53.999 E108.50.08.002
LAXEV N037.30.16.999 E101.41.08.002
LCZ27 N034.00.11.999 E108.43.23.999
LCZ34 N033.53.43.591 E108.39.22.421
LEBAK N036.00.00.000 E093.15.29.999
LELUX N037.26.15.000 E102.02.07.001
LEVGI N037.12.51.001 E104.36.38.999
LIKMI N042.23.17.999 E095.45.59.000
LL901 N036.29.52.102 E103.51.50.198
LL905 N036.44.19.000 E103.46.52.399
LL908 N036.47.23.201 E103.12.29.599
LL910 N036.43.52.399 E103.36.25.801
LL920 N035.54.47.999 E104.08.42.000
LL923 N036.16.04.598 E103.27.54.000
LL927 N036.29.23.600 E103.27.36.400
LL928 N036.31.49.102 E103.12.11.999
LL930 N036.16.33.600 E103.38.08.300
LL940 N036.32.04.499 E103.53.08.902
LL941 N036.02.60.000 E103.56.29.000
LOVRA N035.50.44.999 E109.08.22.999
LUSMA N037.00.00.000 E095.30.00.000
LUVAR N032.36.06.001 E099.00.00.000
LUVES N038.08.46.000 E108.18.24.001
LUVKO N037.49.03.000 E105.31.36.998
MAGOD N038.40.59.999 E090.42.06.001
MAKIP N039.16.14.999 E108.06.11.002
MAPMU N037.02.40.999 E110.38.16.001
MD03 N038.17.49.358 E106.22.30.360
MD05R N034.24.55.829 E108.44.35.369
MD08 N040.09.32.760 E094.46.55.909
MD18 N036.33.11.430 E103.37.12.090
MD21 N038.20.28.810 E106.24.25.420
MD36 N036.28.37.391 E103.37.23.891
MEPEP N036.09.06.001 E097.37.59.999
MIMOK N038.12.01.001 E107.45.00.000
MOPMA N036.27.23.000 E107.02.34.001
MORIT N042.01.59.999 E102.49.00.001
MOVBI N040.45.28.001 E093.37.13.001
MQ03 N038.17.51.608 E106.22.33.341
MUDAP N036.51.00.000 E104.05.44.999
MUDPO N038.44.26.002 E109.40.14.999
MULIV N036.41.33.000 E107.13.04.001
MULOB N039.16.58.001 E107.38.21.001
MULRU N038.56.21.001 E097.40.09.001
MUMAN N034.06.29.999 E096.30.00.000
NIRUV N038.26.06.000 E106.06.47.999
NIXUK N040.12.00.000 E095.08.43.001
NODID N037.17.52.001 E101.31.30.000
NOGEX N037.49.45.001 E100.55.08.000
NSH27 N033.43.30.000 E108.33.18.000
NUKTI N041.51.42.001 E095.11.57.998
OBDEG N039.12.51.998 E091.25.36.001
ODISA N035.51.51.998 E107.16.49.001
OLDAB N038.59.39.001 E107.56.37.000
OMBON N033.21.25.999 E104.16.14.999
OMGUP N039.13.45.998 E097.37.32.999
ONAPI N041.21.04.000 E105.29.55.000
ONEBA N032.48.37.001 E107.29.43.001
OPULI N038.44.06.000 E105.05.19.000
OVTIB N036.23.60.000 E104.44.10.000
PABNI N038.23.11.000 E109.17.35.999
PANRA N036.48.58.000 E102.54.42.998
PIKEM N033.30.43.999 E108.51.33.998
RUSAT N037.39.24.998 E100.40.48.000
RUSDI N039.45.06.001 E092.10.48.000
SADBU N035.15.04.000 E107.31.21.000
SANID N039.35.48.998 E108.13.26.000
SHX N033.52.32.002 E109.55.59.999
SUBUL N032.19.39.000 E106.42.37.001
SUNUV N036.31.45.998 E104.06.45.000
TEBIB N035.21.09.000 E107.53.53.999
TEMOL N035.27.02.999 E094.12.11.002
TODOD N039.37.50.999 E096.37.22.001
TOGOG N033.22.34.000 E109.47.19.000
TONAX N037.45.29.999 E090.11.17.999
TOSAP N039.57.24.001 E095.04.48.000
TUSLI N039.04.59.999 E092.17.60.000
TUTGO N039.10.14.002 E107.25.59.002
TUTNA N036.45.38.002 E110.34.25.000
UGOTU N037.07.01.999 E110.40.30.000
UGSUT N033.45.24.001 E109.34.36.001
UPKUN N039.05.20.000 E107.39.45.000
UPVOP N036.25.50.002 E102.51.25.999
VEDLU N038.42.11.999 E108.43.16.000
VENBA N036.21.29.999 E109.38.40.999
VIKON N039.31.59.002 E108.19.57.000
VIKUP N039.33.49.000 E096.06.13.000
VISIN N035.25.32.999 E106.23.20.000
XENUB N034.21.41.000 E108.50.43.001
XIXAN N036.16.45.998 E104.07.28.999
XN603 N036.37.48.000 E101.40.44.000
XN604 N036.42.32.000 E101.42.45.000
XN618 N036.50.39.998 E102.11.10.000
XN620 N036.18.18.000 E102.06.36.000
XN622 N036.45.23.000 E102.42.56.002
XN626 N036.58.13.001 E101.44.30.998
XN703 N036.25.46.999 E102.23.57.998
XN705 N036.31.28.999 E102.37.53.000
XN706 N036.40.54.001 E102.30.10.001
XN711 N036.28.03.000 E102.29.26.002
XN801 N036.46.27.998 E101.53.57.001
XN803 N036.31.36.998 E102.31.40.001
XN807 N036.31.43.000 E102.20.35.002
XN808 N036.27.24.998 E102.38.43.001
XN818 N036.26.31.999 E102.46.04.001
XN820 N036.46.45.001 E101.52.03.000
XNN30 N036.27.19.670 E102.38.37.619
XODAS N034.54.47.002 E108.10.39.000
XY404 N034.11.10.000 E109.17.49.999
XY406 N034.02.12.001 E108.51.24.001
XY410 N034.38.48.001 E108.51.22.000
XY420 N034.37.21.000 E109.01.46.999
XY430 N034.40.23.999 E108.44.55.000
XY510 N034.32.30.001 E108.55.00.001
XY520 N034.32.24.000 E109.04.48.000
XY530 N034.42.16.999 E108.49.59.999
XY609 N033.58.41.999 E108.28.09.998
XY610 N035.10.30.000 E108.08.26.002
XY620 N034.15.18.000 E108.31.18.001
XY630 N034.20.24.000 E108.38.17.999
XY640 N034.29.02.000 E108.33.47.002
XY701 N034.23.24.000 E108.32.35.999
XY702 N034.22.27.998 E108.24.47.999
XY703 N034.27.58.000 E108.22.57.000
XY801 N034.31.12.000 E108.40.32.002
XY802 N034.32.44.999 E109.05.57.001
XY803 N034.21.40.000 E108.50.44.002
XY804 N034.38.01.000 E109.00.20.002
XY805 N034.35.42.000 E108.59.22.999
XY806 N034.35.08.002 E108.45.56.999
XY807 N034.38.43.001 E108.50.52.001
XY808 N034.36.29.999 E109.03.54.000
XY809 N034.25.40.001 E108.56.12.001
XY810 N034.29.21.001 E109.01.14.002
XY812 N034.36.24.998 E108.58.18.998
XY813 N034.38.57.001 E108.59.21.001
XY815 N034.42.16.999 E108.55.46.999
XY901 N035.06.42.998 E108.50.49.999
XY902 N034.57.05.000 E108.47.01.000
XY903 N035.18.28.001 E108.36.20.999
XY904 N034.53.16.001 E108.11.44.999
XY905 N034.35.07.001 E108.35.28.000
XY906 N034.27.51.998 E108.35.58.999
XY907 N034.02.28.000 E108.15.43.999
XY908 N033.43.30.000 E108.33.18.000
XY909 N033.53.39.001 E108.39.23.000
XY910 N034.00.11.999 E108.43.23.999
XY911 N034.18.07.999 E108.45.51.998
XY914 N034.23.48.001 E108.30.25.999
XY915 N034.13.59.999 E108.27.38.999
XY916 N034.17.11.000 E108.31.58.001
XY917 N034.13.40.001 E108.39.47.002
XY918 N034.10.07.000 E108.34.50.999
XY919 N034.12.47.999 E108.28.04.001
XY920 N034.15.27.000 E108.31.40.001
XY940 N034.32.08.002 E108.31.26.000
XY950 N034.19.45.001 E108.14.29.000
XY960 N034.20.13.999 E108.25.32.999
YC501 N038.30.41.800 E106.47.45.802
YC502 N038.26.44.002 E106.56.37.000
YC503 N038.14.01.799 E106.47.26.002
YC504 N038.28.44.800 E105.58.15.701
YC506 N038.50.19.000 E107.13.49.001
YC601 N037.56.19.000 E106.07.14.599
YC705 N037.49.00.901 E106.02.06.202
YC706 N038.00.08.701 E106.09.56.200
YC707 N038.04.24.398 E106.12.57.398
YC708 N038.08.40.200 E106.15.58.900
YC713 N037.56.42.601 E106.17.40.999
YC714 N038.03.34.301 E106.02.10.702
YC715 N038.12.06.199 E106.08.12.800
YC716 N038.23.24.900 E106.16.14.902
YC717 N038.00.58.100 E106.20.42.500
YC718 N038.05.13.700 E106.23.44.300
YC719 N038.17.26.401 E106.32.27.600
YC720 N038.45.12.899 E106.52.30.900
YC721 N037.58.44.198 E106.38.16.901
YC722 N037.48.40.500 E106.44.24.500
YC723 N037.48.51.502 E106.31.14.200
YC804 N038.26.30.300 E106.38.58.301
YC806 N038.38.24.299 E106.37.16.000
YC807 N038.34.11.100 E106.34.13.501
YC808 N038.29.57.800 E106.31.11.399
YC811 N038.41.51.799 E106.29.27.802
YC812 N038.33.24.901 E106.23.23.798
YC816 N038.34.56.302 E106.45.03.499
YC817 N038.30.43.301 E106.42.00.698
YC820 N038.46.15.600 E106.42.57.200
YHD04 N038.17.37.478 E106.27.01.231
YHD29 N038.46.20.510 E106.42.42.080
YHD30 N038.31.23.999 E105.49.00.001
YHD36 N037.48.42.001 E106.44.24.000
ZGC30 N036.57.18.000 E103.55.00.001
ZNX45 N034.50.36.859 E108.15.55.451
ZNX66 N035.10.23.999 E108.08.42.000
