24VOR N043.55.27.649 E087.33.41.530
4590E N045.00.00.000 E090.00.00.000
4591E N045.00.00.000 E091.00.00.000
4592E N045.00.00.000 E092.00.00.000
4593E N045.00.00.000 E093.00.00.000
4683E N046.00.00.000 E083.00.00.000
4684E N046.00.00.000 E084.00.00.000
4685E N046.00.00.000 E085.00.00.000
4686E N046.00.00.000 E086.00.00.000
4687E N046.00.00.000 E087.00.00.000
4688E N046.00.00.000 E088.00.00.000
4689E N046.00.00.000 E089.00.00.000
4690E N046.00.00.000 E090.00.00.000
4691E N046.00.00.000 E091.00.00.000
4783E N047.00.00.000 E083.00.00.000
4784E N047.00.00.000 E084.00.00.000
4785E N047.00.00.000 E085.00.00.000
4786E N047.00.00.000 E086.00.00.000
4787E N047.00.00.000 E087.00.00.000
4788E N047.00.00.000 E088.00.00.000
4789E N047.00.00.000 E089.00.00.000
4790E N047.00.00.000 E090.00.00.000
4791E N047.00.00.000 E091.00.00.000
4886E N048.00.00.000 E086.00.00.000
4887E N048.00.00.000 E087.00.00.000
4888E N048.00.00.000 E088.00.00.000
4889E N048.00.00.000 E089.00.00.000
4890E N048.00.00.000 E090.00.00.000
4987E N049.00.00.000 E087.00.00.000
4988E N049.00.00.000 E088.00.00.000
70VOR N043.52.51.841 E087.21.11.761
72VOR N039.31.25.129 E075.52.15.960
ADMUX N038.52.32.999 E090.57.01.001
ADPET N044.25.03.000 E089.41.35.999
AGOXA N044.04.31.001 E088.50.42.000
AKVOV N043.25.00.001 E086.27.20.002
ANKIV N038.42.28.001 E076.56.01.000
ANORH N044.50.35.999 E089.29.06.000
ATAXO N043.47.21.001 E087.16.32.002
BAMAN N045.16.59.999 E082.37.00.001
BATUS N043.07.32.999 E095.05.11.000
BEBEP N042.12.38.002 E084.00.05.000
BIKNO N040.54.54.000 E093.50.53.002
CD07 N043.50.38.159 E087.10.34.529
CD08 N039.30.12.049 E075.44.16.732
CD11 N037.05.51.472 E079.41.49.358
CD25Y N043.56.26.948 E087.38.28.961
CD25Z N043.57.48.989 E087.45.08.431
CD26 N039.32.56.850 E076.13.02.010
CD29 N036.59.47.468 E080.02.32.381
CF25 N043.57.55.890 E087.45.02.272
CF26 N039.33.21.899 E076.16.17.872
CF29 N036.59.12.570 E080.02.18.420
CI07 N043.51.18.439 E087.13.52.349
CI08Z N039.31.34.162 E075.43.54.941
CI25X N043.56.31.988 E087.38.23.521
CQ29Y N036.59.08.981 E080.02.36.712
CQ29Z N036.59.14.140 E080.02.19.129
D014H N044.02.27.668 E087.33.41.580
D014I N044.03.25.121 E087.34.05.588
D050D N043.57.15.188 E087.34.52.079
D050H N043.59.39.379 E087.39.17.791
D050J N044.00.51.412 E087.41.30.772
D050M N044.02.50.168 E087.45.10.400
D050S N044.06.15.008 E087.51.30.319
D051J N044.00.26.960 E087.39.43.769
D051Q N044.04.21.490 E087.47.16.440
D051T N044.06.37.778 E087.51.40.388
D058K N044.00.04.259 E087.43.31.958
D064J N043.58.18.091 E087.40.36.581
D073P N037.05.37.979 E080.12.04.979
D074P N037.06.29.002 E080.11.21.908
D082K N039.33.26.842 E076.14.00.931
D086L N039.32.59.539 E076.16.54.689
D089N N039.32.17.250 E076.19.29.129
D091M N039.31.44.911 E076.19.26.558
D093N N039.31.18.721 E076.19.23.588
D131O N039.21.59.900 E076.13.45.181
D136P N039.20.42.050 E076.14.55.860
D216G N044.04.57.410 E087.52.53.288
D224O N044.00.09.140 E087.43.48.029
D226I N044.04.29.309 E087.49.34.658
D234D N043.52.41.369 E087.25.47.230
D234J N043.49.24.740 E087.18.51.188
D234M N043.48.03.751 E087.15.56.819
D234T N043.43.53.800 E087.07.00.581
D234Y N043.41.17.639 E087.01.26.918
D241O N043.47.59.899 E087.09.53.032
D245R N044.03.37.051 E087.35.51.259
D245Z N044.00.34.679 E087.25.35.738
D251M N043.50.35.632 E087.10.33.668
D257P N043.51.59.198 E087.08.43.102
D258Q N043.52.08.890 E087.07.14.030
D262K N039.31.44.648 E075.48.51.818
D297H N043.58.35.288 E087.18.55.069
D297Q N044.03.19.051 E087.10.01.769
D301H N043.59.17.380 E087.21.16.088
D305D N043.57.07.441 E087.26.24.562
D305G N043.58.54.419 E087.23.14.539
D305J N044.00.59.731 E087.19.31.508
DAKPA N044.01.48.000 E091.25.21.000
DUBUV N043.48.15.001 E089.31.00.998
DUMAM N043.57.56.002 E088.48.42.001
EPDAG N043.17.37.000 E086.12.07.999
ESBID N043.22.23.999 E090.32.04.999
ESDEX N041.37.45.001 E091.51.07.999
FD07 N043.51.43.448 E087.15.45.079
FD08 N039.30.49.241 E075.48.20.110
FD11 N037.04.18.908 E079.46.09.840
FD25Y N043.55.54.030 E087.35.49.250
FD25Z N043.57.01.462 E087.41.16.699
FD26 N039.32.53.059 E076.07.51.769
FD29 N037.00.54.029 E079.57.44.471
FEAST N044.07.04.001 E088.26.24.000
FF07 N043.51.42.368 E087.15.43.639
FF25 N043.57.07.279 E087.41.10.961
FF807 N044.00.42.998 E087.31.34.000
FI08 N039.31.48.400 E075.48.02.401
FI25X N043.55.58.321 E087.35.44.110
FI26 N039.33.07.391 E076.11.47.000
FI29 N036.59.55.450 E079.59.53.689
FKG39 N043.55.36.368 E087.08.57.772
FQ26 N039.32.54.082 E076.07.47.381
FQ29Y N037.00.35.539 E079.57.41.220
FQ29Z N037.00.36.569 E079.57.37.699
GOPTO N049.05.30.001 E087.28.00.001
GUXIX N044.05.48.998 E087.23.46.000
HTN28 N037.09.31.900 E080.25.52.900
HWEST N043.19.37.999 E091.55.05.999
IDMOL N042.41.30.001 E081.44.21.001
IDOPU N043.26.22.999 E091.31.45.998
IGBAV N043.59.37.000 E087.26.19.000
IKARA N044.43.19.999 E086.59.34.001
IKENA N043.14.11.000 E091.57.05.000
IPMUN N042.31.05.999 E091.41.39.001
IRB30 N037.09.24.001 E080.29.06.000
KABDO N043.32.35.999 E086.42.58.000
KAMUD N041.34.00.001 E078.49.59.999
KEXAB N043.33.28.001 E089.23.35.002
LEDEM N039.35.19.000 E079.13.27.001
LESVI N040.07.14.002 E080.10.17.000
LIKMI N042.23.17.999 E095.45.59.000
MAGIV N038.34.41.999 E077.29.57.001
MAGOD N038.40.59.999 E090.42.06.001
MD07 N043.53.57.818 E087.26.11.468
MD08 N039.32.30.790 E075.59.29.789
MD11 N037.03.05.731 E079.49.35.350
MD25Y N043.55.00.790 E087.30.29.689
MD25Z N043.54.56.221 E087.30.31.320
MD26 N039.32.49.762 E076.03.35.842
MD29 N037.01.52.111 E079.53.32.431
MIMAR N043.20.42.000 E091.29.06.000
MOVBI N040.45.28.001 E093.37.13.001
MULOR N044.33.19.001 E088.12.15.998
NEAST N043.15.52.999 E085.05.51.000
NIRAV N045.52.40.001 E088.59.03.998
NOLEP N038.34.30.000 E088.42.29.999
NUKTI N041.51.42.001 E095.11.57.998
OBDEG N039.12.51.998 E091.25.36.001
ODURI N043.18.47.002 E091.58.43.000
OGITI N044.13.21.000 E088.44.53.002
OMDAX N044.34.28.999 E087.59.26.999
OMKEN N044.49.59.999 E086.47.60.000
OVMAB N044.00.19.001 E088.28.44.000
PAMLI N040.58.00.998 E081.39.50.000
PIBIG N046.15.20.002 E084.08.04.999
PORUP N043.50.24.000 E092.10.05.002
POSOT N043.10.59.999 E085.58.25.000
PUBAM N044.28.40.001 E089.04.05.999
PUBOD N038.29.49.999 E077.37.23.999
PURPA N036.56.29.000 E075.24.27.000
REDUB N044.44.55.000 E088.19.03.000
RULAD N043.30.01.001 E080.43.59.002
RUSDI N039.45.06.001 E092.10.48.000
SADAN N040.04.36.001 E086.00.00.000
SAGOK N040.49.01.999 E082.22.14.999
SALMO N045.41.53.002 E085.13.14.999
SARIN N046.51.56.002 E082.53.17.002
SH602 N039.33.22.000 E076.16.25.000
SH605 N039.26.21.998 E076.17.03.001
SH704 N039.17.25.001 E076.18.01.001
SH804 N039.31.36.998 E075.43.50.002
SH805 N039.29.39.001 E075.41.37.000
SH806 N039.24.29.002 E075.42.06.001
SH807 N039.24.50.000 E075.48.33.001
TAMOX N042.52.54.998 E091.12.27.000
TAPUG N039.10.27.001 E081.15.38.002
TEAST N045.40.43.000 E085.11.40.999
TEBUS N047.25.05.999 E090.27.42.001
TEPUT N038.00.56.002 E084.51.46.001
TN632 N037.09.28.001 E080.25.55.999
TUNKI N038.57.50.000 E080.03.18.000
UDOXU N044.08.58.999 E088.10.23.002
UGPEL N044.33.06.998 E087.17.12.998
UGTUD N043.50.12.998 E087.08.42.000
UNVED N044.02.42.000 E088.07.14.002
VARMI N044.20.03.001 E087.41.04.999
VESED N044.31.40.001 E088.30.33.998
VIDAV N043.56.30.001 E087.58.50.999
VIKOL N044.30.00.000 E091.15.00.000
VOR13 N043.51.20.041 E087.13.53.580
WUR34 N043.36.24.109 E086.51.02.610
WW403 N043.50.39.998 E087.10.52.000
WW404 N043.47.39.998 E087.12.06.998
WW405 N043.44.48.998 E087.13.18.001
WW406 N043.55.50.999 E087.08.44.002
WW410 N043.55.49.001 E087.35.04.999
WW411 N044.03.22.000 E087.43.59.999
WW412 N044.01.50.002 E087.36.47.999
WW414 N043.47.56.000 E087.27.51.001
WW415 N043.46.22.001 E087.20.31.999
WW432 N043.58.37.999 E087.21.47.002
WW501 N043.53.03.001 E087.21.50.000
WW511 N044.03.47.999 E088.01.32.002
WW512 N044.02.04.999 E088.08.55.000
WW513 N043.57.43.999 E088.27.32.000
WW541 N044.05.29.000 E087.27.29.002
WW542 N044.10.17.000 E087.19.13.001
WW543 N044.02.16.001 E087.32.12.998
WW601 N043.55.32.999 E087.33.42.001
WW602 N043.57.09.000 E087.41.13.999
WW603 N043.58.13.001 E087.46.12.000
WW604 N043.59.46.000 E087.53.28.000
WW606 N044.08.57.998 E088.11.57.998
WW607 N044.09.47.999 E088.04.32.999
WW608 N044.02.26.002 E088.01.45.998
WW611 N044.10.53.000 E087.52.50.002
WW612 N044.08.33.000 E087.41.53.002
WW613 N044.07.00.998 E087.34.41.002
WW614 N044.04.55.999 E087.51.20.999
WW621 N043.50.33.000 E087.36.38.999
WW623 N043.54.34.999 E087.55.34.000
WW633 N044.00.19.001 E087.29.39.998
WW641 N044.08.07.001 E088.19.23.002
WW651 N044.16.00.998 E088.21.11.002
WW661 N044.16.53.000 E088.13.44.000
WW671 N044.17.40.999 E088.06.20.999
WW681 N044.18.32.000 E087.58.55.999
WW691 N044.28.17.000 E087.26.04.999
