10VOR N022.20.35.020 E113.59.56.648
65VOR N022.39.41.332 E108.14.03.581
66VOR N025.19.16.702 E110.03.11.272
70DME N022.20.41.251 E114.02.56.270
75DME N022.21.40.252 E114.03.15.070
93VOR N029.08.00.391 E110.34.33.460
A N022.28.19.088 E108.17.46.298
A N023.23.17.999 E113.14.12.001
A N025.34.00.001 E110.40.00.001
ABBEY N022.16.10.999 E114.55.25.921
ADBIN N021.58.05.002 E112.49.16.000
AGTEL N020.30.00.000 E110.17.35.999
AGVOS N023.04.00.001 E113.04.54.001
AKNAV N026.00.33.001 E108.43.37.999
AKUBA N028.45.18.000 E113.36.01.001
ALEKI N021.50.57.998 E109.05.42.000
ARGON N022.11.52.559 E113.43.47.669
ASOGO N028.13.59.002 E112.05.04.999
ATAGA N024.09.41.000 E113.41.02.000
ATENA N022.24.39.848 E114.23.11.879
ATIKO N021.48.29.560 E113.32.26.041
ATLAT N023.30.47.002 E110.21.45.000
AVGUT N028.25.40.001 E113.30.27.000
AVPAM N023.12.29.999 E111.49.36.001
B N022.42.24.581 E108.00.37.181
B N024.40.30.000 E110.28.12.000
BEBEM N022.56.60.000 E116.21.38.002
BEKOL N022.32.35.999 E114.07.59.999
BEMAG N026.01.04.001 E114.00.02.999
BEMTA N028.08.55.000 E112.16.26.000
BIGRO N021.34.12.000 E111.49.36.001
BIGVI N026.22.23.002 E109.38.37.000
BILAT N023.52.03.000 E114.08.47.000
BINUS N023.50.28.000 E117.24.14.000
BIPOP N023.20.57.998 E111.08.55.000
BISON N022.29.07.411 E114.12.28.760
BIVIP N031.07.44.000 E115.16.49.001
BODUV N028.39.10.001 E109.39.45.000
BOKAT N022.02.16.001 E113.00.00.000
BORDA N021.41.32.370 E113.24.29.009
BUBDA N025.52.05.999 E113.27.49.000
BUMDI N022.21.39.622 E114.18.52.610
C N022.24.07.459 E108.22.57.220
C N025.29.17.999 E109.41.35.999
CD01 N025.01.29.640 E110.02.36.269
CD01 N030.06.11.660 E109.28.11.348
CD04 N023.23.15.911 E116.21.14.648
CD04 N024.07.50.992 E115.58.34.702
CD04 N027.44.38.681 E109.10.03.500
CD07L N022.15.40.360 E113.44.39.199
CD08 N029.03.33.142 E110.11.09.128
CD14 N030.39.57.931 E111.19.27.779
CD19 N030.35.31.160 E109.37.40.102
CD22 N023.42.28.699 E116.38.44.131
CD22 N024.24.12.982 E116.13.54.160
CD22 N028.01.02.219 E109.26.40.351
CD23 N022.45.32.299 E108.20.36.049
CD25R N022.25.08.731 E114.14.13.909
CD32 N030.25.26.281 E111.38.35.041
CEDAR N022.16.12.551 E113.46.18.120
CF04 N030.38.47.231 E114.04.04.598
CF15 N022.52.54.001 E113.40.30.000
CF16 N022.52.30.000 E113.39.36.000
CF33 N022.29.30.001 E113.53.24.000
CF34 N022.29.12.001 E113.52.36.001
CI01 N023.02.25.940 E113.11.34.732
CI01 N025.03.31.612 E110.01.26.530
CI01 N030.06.15.541 E109.26.49.481
CI02 N028.42.55.642 E111.35.20.580
CI02L N023.02.09.532 E113.12.49.889
CI02R N023.02.04.999 E113.13.03.040
CI04 N024.08.02.468 E115.58.05.650
CI04 N027.44.48.052 E109.10.01.690
CI04L N030.33.31.349 E113.58.42.892
CI04R N030.32.51.760 E113.59.48.959
CI04W N030.35.56.918 E114.02.57.142
CI04Y N023.23.09.229 E116.21.08.579
CI05Y N022.28.58.181 E108.01.53.029
CI07L N022.15.58.871 E113.45.35.770
CI07R N022.15.07.481 E113.45.40.770
CI08 N029.02.48.340 E110.11.32.190
CI14 N030.40.21.760 E111.20.07.940
CI18L N028.23.11.630 E113.12.41.540
CI18R N028.23.06.878 E113.12.27.389
CI19 N023.40.30.158 E113.21.50.879
CI19 N025.29.52.210 E110.03.58.568
CI20L N023.40.09.739 E113.23.20.051
CI20R N023.40.13.181 E113.23.06.281
CI22L N030.59.55.990 E114.27.28.991
CI22R N031.00.38.311 E114.26.28.630
CI22Y N023.42.25.229 E116.38.40.510
CI23Y N022.45.26.640 E108.20.47.940
CI26 N029.10.05.858 E110.44.17.239
CI36L N027.59.24.202 E113.13.55.330
CI36R N027.59.25.732 E113.14.08.779
CL07L N022.15.54.922 E113.45.23.551
CL07R N022.15.03.532 E113.45.28.552
CL16 N022.17.03.790 E113.38.27.971
CL16X N022.16.34.208 E113.38.05.690
CQ19 N025.29.39.361 E110.04.06.971
CS01 N028.15.16.999 E113.58.13.001
CS02 N028.04.54.998 E113.56.01.000
CS03 N027.38.21.998 E113.37.36.998
CS04 N027.59.58.999 E112.16.22.001
CS06 N028.45.56.999 E113.30.51.001
CS07 N028.44.38.000 E113.42.05.000
D N022.46.47.032 E107.55.33.010
D001D N023.28.18.199 E113.17.29.771
D001O N022.37.43.489 E113.52.44.580
D002S N022.50.40.121 E113.33.37.328
D002S N025.31.49.868 E110.02.10.450
D005S N025.31.55.690 E110.03.17.010
D006P N023.51.56.419 E116.25.23.311
D006W N023.58.39.349 E116.25.42.679
D007E N030.21.59.962 E109.36.28.019
D007M N027.51.54.241 E113.32.01.388
D008O N025.27.04.619 E110.03.52.700
D009G N030.33.11.390 E114.10.11.179
D009J N023.11.15.540 E113.12.43.358
D010Q N025.30.00.349 E110.04.51.038
D011S N025.31.51.629 E110.05.30.901
D011Y N023.59.35.999 E113.39.18.000
D013D N030.59.07.238 E114.22.09.530
D014P N028.07.50.891 E109.21.03.110
D014S N025.31.57.911 E110.06.40.939
D014T N022.51.37.530 E113.38.13.459
D016I N022.16.56.572 E113.38.00.359
D016L N023.34.28.070 E113.20.12.901
D016Z N023.47.24.832 E113.23.43.400
D021Y N028.02.57.008 E113.39.37.238
D022M N023.23.29.918 E113.30.35.798
D022N N023.21.22.590 E113.29.46.219
D025U N025.32.23.089 E110.11.22.538
D028L N028.10.21.400 E113.13.12.410
D030B N030.21.54.331 E109.30.01.861
D030E N030.24.56.498 E109.31.49.001
D030G N030.26.22.211 E109.32.39.458
D030R N030.42.20.430 E114.18.30.020
D031F N023.29.49.099 E113.22.02.060
D031J N023.33.20.182 E113.24.09.101
D035Q N030.34.39.140 E109.39.28.192
D037N N028.03.43.999 E109.26.26.948
D039M N022.46.42.848 E108.18.57.960
D041F N022.19.49.642 E113.41.01.201
D041G N022.19.44.911 E113.40.57.220
D041O N022.46.51.071 E108.19.13.159
D044G N024.18.57.820 E116.08.48.739
D044O N023.47.02.332 E116.34.51.701
D046D N030.54.57.319 E114.31.04.681
D046L N030.50.41.032 E114.07.28.319
D046Z N031.06.11.408 E114.32.31.711
D049O N024.24.15.300 E116.16.13.091
D049X N030.58.02.770 E114.18.25.531
D050R N029.17.53.581 E110.39.21.370
D051R N028.35.52.519 E113.35.25.231
D052V N023.49.48.000 E113.53.24.000
D053M N028.20.48.001 E113.24.06.001
D055I N030.52.23.020 E114.20.03.379
D055O N022.44.12.530 E108.21.57.809
D055Y N031.02.26.851 E114.34.32.632
D057M N022.43.46.510 E108.22.01.150
D059C N029.07.00.070 E110.26.39.970
D061E N023.11.48.001 E113.30.00.000
D061N N023.16.00.721 E113.37.36.199
D061Y N023.21.54.421 E113.48.20.610
D062O N023.43.35.980 E116.38.06.040
D065B N022.30.28.991 E113.55.38.600
D065F N022.32.18.240 E113.59.29.620
D065L N022.35.01.950 E114.05.16.328
D065P N023.43.23.779 E116.39.24.700
D065U N023.45.59.249 E116.45.01.991
D068G N022.34.45.271 E113.40.36.592
D073R N029.11.44.930 E110.43.37.560
D075O N024.18.23.170 E116.19.54.170
D076N N029.10.20.611 E110.40.56.842
D078R N029.10.14.761 E110.44.09.640
D080L N029.08.25.051 E110.37.23.059
D080N N029.09.02.131 E110.40.16.140
D080T N029.10.20.359 E110.46.22.372
D080X N029.11.15.670 E110.50.42.158
D083X N028.08.13.448 E112.39.34.898
D084N N030.19.59.999 E109.52.00.001
D085Q N022.22.32.891 E114.16.34.500
D085W N022.38.10.021 E108.33.32.260
D086U N028.01.52.522 E113.30.46.508
D086W N022.45.06.610 E114.26.42.781
D090G N030.34.10.970 E111.36.06.959
D090L N030.34.30.079 E111.42.28.580
D090Y N028.14.16.170 E113.49.18.811
D091F N028.23.55.640 E113.27.44.032
D091M N027.59.39.239 E113.21.49.612
D093V N023.04.05.999 E112.52.59.999
D097T N023.33.42.001 E113.57.00.000
D099J N024.12.50.191 E116.14.37.511
D099M N024.12.26.759 E116.18.05.980
D099Q N024.11.59.579 E116.22.06.989
D104B N023.00.50.440 E113.13.43.950
D104C N023.00.39.161 E113.14.41.212
D104D N023.00.30.380 E113.15.25.729
D106O N022.28.14.740 E113.49.24.870
D108K N027.56.26.689 E113.19.00.199
D108Y N030.36.19.519 E114.26.12.001
D110S N030.36.32.288 E114.19.47.932
D111M N024.09.54.320 E116.17.20.288
D115L N030.29.17.009 E111.41.28.630
D126H N029.01.18.311 E110.32.00.560
D126U N022.03.00.569 E113.55.24.780
D127E N030.49.35.440 E114.33.01.339
D127H N030.47.59.500 E114.35.58.369
D127P N028.57.41.810 E110.40.50.941
D136C N030.26.44.009 E111.37.01.610
D136G N030.42.23.641 E114.17.59.320
D145F N023.35.17.092 E113.18.26.168
D146F N022.34.31.822 E113.51.41.720
D147H N022.06.44.708 E113.32.58.571
D147O N022.01.00.440 E113.37.19.441
D15 N022.18.58.529 E113.55.57.040
D151Y N027.51.00.000 E113.28.00.001
D153I N022.34.40.771 E114.06.46.469
D153J N030.08.42.000 E109.42.00.000
D155A N022.36.42.160 E113.49.32.729
D155Z N022.08.38.681 E113.46.24.892
D156L N023.24.31.651 E113.41.01.849
D156M N023.24.04.709 E113.41.16.400
D156R N023.19.23.999 E113.43.48.000
D157W N022.48.37.969 E113.35.17.520
D159R N027.56.17.239 E113.29.16.580
D160N N028.41.42.000 E111.44.17.999
D161J N028.00.24.970 E113.17.37.601
D161K N030.07.43.910 E109.40.38.370
D165N N030.06.51.620 E109.34.01.319
D165R N024.55.27.181 E110.07.57.810
D167N N022.51.44.168 E113.54.58.759
D170G N031.12.35.708 E114.27.48.172
D170P N031.04.25.529 E114.30.09.968
D170S N031.03.03.820 E114.30.33.570
D171G N022.00.52.160 E113.37.31.339
D174M N027.59.31.492 E113.15.11.830
D175G N023.33.00.000 E113.15.24.001
D179J N030.23.48.001 E111.29.42.000
D179L N030.21.47.999 E111.30.00.000
D179N N030.06.06.030 E109.30.02.549
D179O N030.18.48.341 E111.29.52.840
D181E N023.19.05.858 E113.18.23.090
D181G N023.17.04.459 E113.18.33.502
D181M N030.04.54.001 E109.36.29.999
D181N N022.01.02.611 E113.37.17.872
D181Q N030.00.46.148 E109.36.44.629
D181R N029.59.17.999 E109.36.54.000
D182E N022.03.06.991 E113.35.57.631
D182P N021.52.04.750 E113.36.10.012
D183N N030.06.10.508 E109.29.02.040
D183W N021.51.11.041 E113.36.27.601
D184G N022.08.06.000 E113.36.42.001
D184N N023.57.21.758 E113.24.21.989
D184Y N023.46.50.070 E113.23.58.060
D185N N023.57.22.399 E113.24.06.001
D185Y N023.46.51.190 E113.23.30.120
D187N N025.00.14.980 E110.01.04.631
D189E N030.15.13.450 E109.28.25.831
D189H N030.44.06.731 E114.27.22.849
D189J N028.00.04.320 E113.12.05.569
D189M N030.07.14.930 E109.27.28.019
D189N N023.57.27.518 E113.23.02.242
D189Y N023.47.00.128 E113.21.38.678
D190L N028.00.14.321 E113.11.13.049
D194P N023.24.29.999 E113.10.59.999
D194Q N023.23.52.868 E113.10.53.969
D195G N022.08.12.390 E113.35.16.969
D195G N029.01.30.961 E111.40.03.680
D195K N029.05.26.408 E111.41.00.712
D196E N023.19.28.319 E113.16.09.682
D196K N023.13.37.819 E113.14.35.160
D197T N024.53.20.479 E109.56.28.882
D198M N023.23.10.072 E116.21.09.659
D198R N023.18.22.500 E116.19.58.159
D201N N030.28.28.740 E113.53.33.788
D202I N023.00.36.799 E113.21.39.802
D210J N022.34.04.912 E113.57.10.861
D210M N022.30.58.781 E113.55.24.488
D211F N023.16.47.399 E113.13.30.079
D215R N027.36.56.542 E109.06.35.122
D216I N022.27.35.240 E108.03.30.629
D216T N030.30.22.010 E113.59.19.748
D217I N028.16.27.030 E113.15.21.398
D220N N022.20.49.499 E113.24.24.109
D221Y N022.02.52.289 E113.36.34.070
D224Y N030.28.37.909 E113.53.13.808
D225V N022.26.24.421 E113.46.43.748
D226D N030.38.41.780 E113.54.57.870
D226M N030.42.26.140 E114.18.01.912
D226V N030.30.21.712 E113.55.30.140
D226Y N030.33.33.250 E114.08.49.492
D228I N022.28.48.799 E108.01.56.161
D231J N024.07.44.620 E115.56.21.728
D233J N024.07.59.902 E115.56.07.732
D238W N030.12.42.059 E113.47.50.258
D241I N022.30.27.151 E108.00.34.801
D241K N028.59.53.081 E110.13.34.000
D241L N028.59.21.862 E110.12.35.510
D241O N028.58.00.660 E110.10.03.490
D241U N028.54.43.711 E110.03.55.411
D245B N022.28.47.849 E113.52.05.002
D245D N022.27.58.612 E113.50.21.120
D245R N022.21.48.769 E113.37.22.642
D245V N022.20.02.760 E113.33.16.160
D253S N028.58.57.320 E110.03.37.238
D254B N022.19.38.201 E113.56.52.361
D254C N022.18.13.939 E113.52.32.981
D255I N023.37.25.028 E113.05.08.419
D257S N029.00.14.321 E110.03.08.500
D259N N029.02.12.998 E110.08.55.021
D259R N029.01.19.229 E110.04.56.330
D260E N022.21.36.310 E113.47.46.129
D261V N022.31.00.188 E107.45.32.731
D263N N029.03.13.061 E110.09.01.080
D263R N029.02.31.762 E110.04.38.269
D264J N030.32.12.001 E111.17.12.001
D264O N030.31.30.000 E111.11.24.000
D264S N029.02.32.618 E110.02.33.112
D264Y N030.29.49.240 E111.00.01.210
D268S N029.03.53.021 E110.02.21.592
D270N N028.53.60.000 E111.22.18.001
D272O N030.25.52.309 E113.52.38.741
D272P N030.25.48.652 E113.50.46.370
D272S N030.25.41.351 E113.47.04.441
D274G N030.26.23.770 E114.01.51.899
D275B N025.12.43.351 E109.59.43.451
D275F N022.20.27.899 E113.52.27.361
D275K N022.20.38.108 E113.47.03.930
D275L N024.14.33.410 E115.51.37.940
D275Q N024.09.30.769 E116.21.34.380
D276F N023.01.41.999 E113.05.60.000
D276F N027.59.14.600 E113.00.57.251
D277B N023.01.27.430 E113.09.27.360
D277C N023.01.31.091 E113.08.42.000
D277H N023.01.57.140 E113.03.17.989
D281L N023.07.18.001 E113.38.24.000
D285D N028.54.49.950 E111.33.32.501
D287U N029.10.38.140 E110.01.08.011
D288O N030.30.07.009 E114.59.45.262
D292X N022.21.26.370 E113.37.25.252
D298W N023.18.54.000 E113.03.11.999
D301J N030.38.29.929 E111.18.21.881
D301V N022.53.08.210 E113.41.14.741
D303U N022.53.31.459 E113.42.09.619
D306U N022.54.08.669 E113.43.20.179
D307M N030.59.04.099 E114.15.54.400
D307N N030.33.37.390 E115.02.19.241
D309S N022.54.12.031 E113.45.13.129
D314A N024.14.07.199 E116.04.03.270
D314K N029.01.54.001 E111.28.41.999
D330F N028.58.48.022 E111.34.27.239
D331C N023.03.27.180 E113.10.00.109
D331T N023.52.30.000 E113.23.53.999
D333I N029.13.34.511 E110.19.01.279
D333T N029.22.35.180 E110.13.02.269
D333U N029.23.42.749 E110.12.17.320
D334N N022.27.17.849 E114.10.10.661
D335A N022.39.55.210 E113.47.46.849
D339Y N023.23.51.119 E113.00.48.899
D341D N022.41.24.518 E113.47.25.350
D343T N025.31.12.850 E109.55.09.361
D344E N024.18.29.498 E116.02.37.928
D347H N022.22.36.001 E113.34.30.000
D348M N027.51.41.062 E113.27.08.719
D356H N022.22.50.498 E114.16.32.182
D360Q N031.09.23.389 E114.26.41.482
DABER N024.08.34.001 E116.51.43.999
DAKOR N029.30.29.999 E109.37.48.000
DAPRO N029.15.28.001 E113.38.21.001
DBDNG N023.49.41.999 E113.37.36.001
DCD12 N030.35.06.590 E114.18.34.189
DCD40 N030.55.50.171 E114.40.18.469
DE02L N023.24.32.170 E113.18.51.559
DE02R N023.24.10.091 E113.19.00.109
DE04L N030.47.42.720 E114.13.11.730
DE04R N030.46.54.952 E114.14.07.980
DE07L N022.19.21.079 E113.56.02.350
DE20L N023.22.10.240 E113.18.27.731
DE20R N023.22.32.318 E113.18.19.192
DE22L N030.45.27.241 E114.12.38.491
DE22R N030.46.19.960 E114.11.47.101
DE25R N022.18.34.268 E113.53.37.061
DEDEE N022.23.12.700 E114.01.03.670
DER01 N023.24.30.539 E113.17.31.268
DER04 N023.33.52.009 E116.30.52.762
DER16 N022.37.25.972 E113.48.05.828
DER19 N023.22.36.998 E113.17.00.622
DER22 N023.32.32.341 E116.29.40.240
DER34 N022.39.16.060 E113.47.05.471
DER36 N028.12.22.410 E113.13.07.349
DG672 N029.09.06.001 E110.17.01.000
DG674 N029.02.48.998 E110.11.20.000
DG828 N029.11.01.000 E110.26.12.001
DG900 N029.07.52.000 E110.34.09.998
DG906 N029.02.53.999 E110.12.04.000
DG908 N029.03.51.001 E110.08.17.002
DG910 N029.09.37.001 E110.07.43.000
DG914 N029.01.31.001 E110.05.60.000
DG916 N028.59.08.999 E110.03.19.001
DG921 N029.09.22.000 E110.40.57.000
DG923 N029.14.21.998 E110.44.20.000
DG925 N029.17.30.001 E110.38.21.001
DG940 N029.16.45.001 E111.16.41.002
DG942 N029.13.34.000 E110.59.56.000
DG944 N029.11.31.999 E110.50.44.002
DG950 N028.36.05.000 E111.17.16.001
DG952 N028.45.02.002 E111.01.22.001
DG953 N029.13.59.002 E110.45.18.000
DG954 N028.48.47.999 E110.54.38.999
DG955 N028.52.14.999 E110.48.29.002
DG957 N029.17.52.001 E110.41.40.999
DG959 N029.19.04.001 E110.35.47.000
DG963 N029.08.52.001 E110.45.38.002
DG964 N028.51.04.000 E109.57.14.000
DG965 N029.07.05.002 E110.50.57.998
DG966 N028.54.43.999 E110.04.01.999
DG984 N029.09.41.000 E110.42.20.002
DG988 N029.23.44.002 E110.12.20.002
DG989 N029.10.36.998 E110.46.32.002
DG992 N029.05.31.999 E110.23.44.999
DG994 N029.04.05.002 E110.10.09.001
DG996 N029.09.38.999 E110.07.35.000
DG998 N029.13.17.000 E110.13.03.000
DHB28 N030.26.05.032 E113.32.21.199
DHB29 N031.03.10.238 E114.20.34.710
DHB30 N030.25.08.681 E113.29.43.591
DHB31 N030.12.40.658 E113.47.55.849
DHP29 N030.30.25.009 E114.05.34.919
DODSA N028.06.33.001 E112.21.42.001
DOMGO N020.30.00.000 E110.50.24.000
DOPNI N028.39.33.001 E111.10.18.998
DOTMI N022.43.05.999 E116.10.05.999
DTM58 N028.06.47.149 E114.12.00.400
DUDIT N023.49.14.999 E108.09.42.001
E N022.50.50.179 E108.22.09.649
EGEDA N025.20.53.999 E115.06.42.001
EKIBA N028.05.39.001 E113.00.51.001
ELKAL N026.05.48.001 E108.23.49.999
EMVIL N032.13.05.002 E109.46.39.000
ENKUS N024.40.39.000 E109.49.13.001
ENLAB N032.22.59.002 E114.38.12.001
EPGAL N028.26.46.000 E109.08.44.002
EPGOS N032.58.31.001 E115.26.28.000
ESBIX N028.04.59.999 E113.23.17.999
ESDOS N031.43.18.001 E114.28.03.000
ESKAM N030.32.34.001 E114.11.52.001
ESMEB N032.15.24.001 E114.21.31.000
F N022.33.07.391 E107.57.45.781
FD01 N025.04.30.101 E110.02.29.360
FD01 N030.11.11.969 E109.28.29.431
FD04 N023.26.29.720 E116.24.10.609
FD04 N024.11.13.970 E116.01.40.148
FD04 N027.47.19.759 E109.12.46.282
FD05 N022.31.40.390 E108.05.07.159
FD07L N022.16.39.410 E113.47.42.601
FD08 N029.04.12.130 E110.15.18.551
FD14 N030.37.07.838 E111.23.40.099
FD19 N025.24.26.611 E110.03.59.270
FD19 N030.28.29.741 E109.33.42.059
FD22 N023.39.19.778 E116.35.51.670
FD22 N024.20.57.800 E116.10.48.562
FD22 N027.58.57.158 E109.24.33.199
FD23 N022.41.17.452 E108.15.50.980
FD25R N022.22.52.630 E114.07.01.909
FD26 N029.08.45.262 E110.37.45.469
FD32 N030.29.16.328 E111.34.00.689
FD34 N022.02.37.792 E113.37.53.962
FF02 N028.48.31.079 E111.36.41.310
FF04R N030.38.48.469 E114.05.51.731
FF07R N022.15.52.909 E113.48.01.310
FF19 N025.25.04.418 E110.03.30.780
FF23 N022.41.15.518 E108.15.59.051
FF25L N022.22.25.100 E114.08.11.310
FF25R N022.22.51.571 E114.06.58.792
FI01 N023.16.50.768 E113.15.27.169
FI01 N030.13.11.392 E109.28.05.138
FI01Y N025.04.31.570 E110.01.32.272
FI01Z N025.04.31.570 E110.01.32.272
FI02L N023.13.50.599 E113.15.58.478
FI02R N023.13.28.531 E113.16.06.971
FI04 N023.26.28.151 E116.24.08.759
FI04 N024.11.14.950 E116.01.14.272
FI04 N027.47.27.550 E109.12.46.418
FI04L N030.39.36.850 E114.04.55.200
FI04R N030.36.28.530 E114.03.29.290
FI05 N022.31.47.201 E108.05.06.659
FI07L N022.16.58.120 E113.48.39.100
FI07R N022.16.06.730 E113.48.44.089
FI08 N029.03.41.911 E110.15.30.982
FI14 N030.37.13.282 E111.24.02.149
FI15 N022.48.14.288 E113.43.12.950
FI16 N022.45.38.761 E113.43.35.422
FI18L N028.18.23.281 E113.12.59.220
FI18R N028.18.12.539 E113.12.45.659
FI19 N023.36.19.012 E113.20.42.821
FI20L N023.31.53.310 E113.21.05.440
FI20R N023.32.08.401 E113.20.54.920
FI22 N023.39.16.250 E116.35.48.120
FI22L N030.53.33.270 E114.20.55.849
FI22R N030.56.35.390 E114.22.18.502
FI25L N022.20.41.251 E114.02.56.270
FI25R N022.20.31.430 E113.59.40.942
FI26 N029.08.40.650 E110.37.51.809
FI33 N022.32.40.538 E113.51.45.011
FI34 N022.02.44.311 E113.37.44.270
FI34 N022.32.34.411 E113.50.45.560
FI36L N028.04.12.551 E113.13.37.571
FI36R N028.04.02.071 E113.13.51.920
FL02L N023.10.40.879 E113.13.38.219
FL07L N022.16.44.299 E113.47.56.321
FL16 N022.14.35.880 E113.36.36.580
FL20L N023.32.00.359 E113.20.43.649
FL20R N023.36.11.182 E113.20.31.582
FOGNG N023.51.47.999 E113.29.17.999
FOXTT N021.45.36.000 E113.22.00.001
FQ01 N025.04.26.828 E110.01.22.750
FQ20 N029.00.28.148 E111.39.49.151
FUSU N023.03.11.999 E113.30.29.999
G N022.37.13.260 E108.27.14.530
GAMBA N021.19.08.119 E112.55.36.210
GG401 N023.16.53.000 E113.15.28.001
GG402 N023.13.48.000 E113.15.58.000
GG403 N023.13.26.000 E113.16.07.000
GG404 N023.02.28.000 E113.11.35.999
GG406 N023.02.11.000 E113.12.50.000
GG407 N023.02.08.002 E113.13.05.002
GG408 N023.00.49.000 E113.18.45.000
GG409 N023.03.32.000 E113.06.56.999
GG412 N023.31.25.000 E113.23.21.001
GG413 N023.34.37.999 E113.20.15.000
GG414 N023.36.29.002 E113.23.33.000
GG416 N023.23.12.998 E113.14.24.000
GG417 N023.37.31.001 E113.03.19.001
